Day,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Conneticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
347,6,7,17,10,7,6,-4,-3,-1,7,4,23,-4,4,-1,4,9,0,8,-6,7,-2,-8,-6,7,7,-6,6,-2,-4,-3,3,-7,0,4,-4,9,3,-4,-3,4,4,2,9,-3,,,,,,
348,7,7,16,7,8,-2,-5,0,3,11,7,24,-3,-2,-2,-1,5,2,11,-9,13,-4,-11,-7,8,1,-7,4,-1,-9,-3,1,-8,7,-1,-3,5,3,-2,-4,9,1,5,13,1,,,,,,
349,3,4,16,4,8,6,-8,-4,-2,14,3,24,-2,0,-2,3,4,-1,7,-10,6,-6,-6,-4,3,1,-3,3,-1,-12,-6,-2,-9,3,3,-5,4,2,-5,-7,9,3,2,11,2,,,,,,
350,4,3,14,6,10,3,-4,0,3,12,4,23,-2,8,5,7,10,5,10,-6,1,-2,-6,-3,6,9,-2,5,0,-7,-2,-1,-6,3,1,3,8,4,2,-3,5,3,4,8,1,,,,,,
351,7,1,13,7,10,-1,-5,3,4,15,4,23,-2,8,5,1,8,6,16,-9,1,-3,-4,-4,12,7,-1,1,-3,-11,2,2,-8,4,-2,1,4,7,1,-6,7,1,7,11,1,,,,,,
352,13,-2,14,10,9,3,0,7,9,22,12,24,3,8,7,3,6,8,18,-11,-3,-1,3,1,16,8,3,4,0,-8,6,1,-2,9,4,6,8,9,4,-1,16,4,9,12,2,,,,,,
353,16,-3,13,11,8,4,7,9,11,22,12,26,5,6,7,6,5,10,21,-3,-6,6,4,-1,19,7,-1,3,3,0,9,1,7,12,-1,8,11,9,11,7,16,1,9,18,4,,,,,,
354,19,1,14,13,8,11,4,6,8,22,16,22,4,3,4,2,4,8,19,-1,-4,4,-2,-7,16,7,-8,1,3,0,6,1,2,11,-7,2,11,6,4,4,16,0,11,18,7,,,,,,
355,12,-3,10,13,7,-7,1,1,4,17,13,23,-2,4,4,1,6,7,17,-9,-3,-1,-1,-6,16,11,-14,1,-4,-6,1,2,-3,7,-13,2,10,-1,1,0,12,-9,11,18,0,,,,,,
356,14,-6,8,12,5,-2,-2,4,8,16,13,23,1,7,8,-4,-2,13,24,-12,-7,-1,1,-6,22,3,-9,-4,0,-7,3,-2,-6,9,-8,10,0,3,4,-1,14,-9,14,13,-1,,,,,,
357,17,-7,10,6,8,-3,-1,12,13,19,15,24,-6,0,2,-6,-4,8,16,-4,,1,-2,-9,15,0,-16,-7,8,-2,9,-1,-1,16,-10,5,1,4,7,6,17,-11,13,8,4,,,,,,
358,9,-9,13,3,8,-10,1,3,6,17,8,24,-9,-6,-3,-7,-5,-1,12,-3,,2,-7,-10,8,-4,-18,-11,6,-2,3,3,-1,11,-14,-2,-1,1,3,3,14,-9,2,11,-2,,,,,,
359,3,-7,13,0,9,-11,0,1,2,10,2,24,-6,-10,-7,-13,-6,-3,7,-8,,-1,-10,-18,3,-4,-16,-12,6,-4,1,4,-4,4,-22,-7,-1,3,-1,1,7,-16,-2,7,1,,,,,,
360,6,-5,13,1,8,-13,-7,-1,2,11,4,22,-5,-14,-12,-16,-12,-3,8,-9,,-5,-16,-20,5,-8,-16,-18,4,-9,-3,4,-9,2,-24,-10,-3,0,-3,-5,6,-20,2,8,-3,,,,,,
361,6,-7,16,-3,8,-3,-9,-5,-3,11,4,23,-4,-17,-16,-18,-13,-8,6,-16,,-9,-16,-19,3,-13,-14,-19,3,-16,-6,5,-14,2,-22,-14,-5,6,-7,-8,7,-17,-4,4,-2,,,,,,
362,6,-8,15,-4,8,2,-13,-8,-6,8,3,24,-5,-11,-12,-11,-4,-8,6,-19,,-13,-17,-14,2,-8,-11,-8,3,-17,-8,3,-17,-4,-16,-12,1,8,-9,-12,3,-13,-4,7,1,,,,,,
363,6,-9,16,1,8,3,-12,-7,-3,5,6,24,-1,-10,-8,-12,-4,-5,7,-21,,-13,-11,-17,3,-4,-17,-10,7,-19,-8,2,-14,-2,-21,-9,2,12,-8,-11,4,-16,-1,7,1,,,,,,
364,4,-13,17,2,8,-2,-11,-6,-2,8,4,23,1,-11,-13,-18,-11,-7,13,-19,,-11,-14,-23,7,-8,-19,-15,10,-17,-7,4,-14,4,-27,-13,-2,9,-6,-10,7,-22,-2,12,4,,,,,,
365,3,-12,14,-4,8,-9,-14,-9,-7,9,0,24,-2,-17,-15,-22,-16,-10,3,-18,,-13,-15,-23,-1,-13,-22,-21,3,-19,-11,0,-16,-2,-27,-14,-9,4,-10,-12,2,-27,-7,2,1,,,,,,
